

 ********* 2016-09-06 10:22:44 Duration: 00:00:37 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
    65,740  16,435,145  29,629,465   1,522,423          4  api_common.publish
    30,086  30,086,985  30,086,985  30,086,985          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
    30,080  30,080,604  30,080,604  30,080,604          1  on.service.createShoppingCart
    30,080  30,080,553  30,080,553  30,080,553          1  cwl_on.createShoppingCart
    29,629  29,629,477  29,629,477  29,629,477          1  dataorder.service.createOrder
    29,629  29,629,414  29,629,414  29,629,414          1  cwt_do.api.createOrderHandler
    28,952  28,952,773  28,952,773  28,952,773          1  cwt_do.api.orderClassUI.loadItemsFromServiceRegistry
    28,952  28,952,657  28,952,657  28,952,657          1  cwt_on_cim_ext.getExistingAccountServices
    16,793     215,299     492,067      37,164         78  dataorder.service.addOrderItem
    16,791     215,277     492,046      37,141         78  cwt_do.api.addOrderItemHandler
    10,363      43,911     218,346       3,446        236  cwt_do.ClsDataOrderHelperUI.save
     7,651      98,097     252,646      15,753         78  cwt_do.api.orderClassUI.addOrderItem
     5,971      76,554     220,774       6,795         78  cwt_do.api.orderClassUI.addProductOfferingToOrder
     5,959      76,403     220,631       6,650         78  cwt_do.api.orderClassUI.addPOtoOrder
     5,889      75,511     219,753       5,896         78  cwt_do.ClsDataOrderHelperUI.addItem
     5,635   5,635,964   5,635,964   5,635,964          1  cwt_sr.getProductHelper
     5,635   5,635,881   5,635,881   5,635,881          1  cwtsr_Lib.getProduct
     5,634   5,634,854   5,634,854   5,634,854          1  cwtsr_Lib.productsFinder.cwOnFinderSel
     5,617      19,505      49,921      12,847        288  cwtsr_Lib.selectProduct
     5,541      69,272     177,107       6,588         80  cwt_do.api.orderClassUI.loadOrderById
     4,844       2,709      81,210         497      1,788  cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
     4,761      58,067     153,339         666         82  cwt_do.api.orderClassUI.init
     4,503      27,127     143,349           5        166  cwt_do.ClsDataOrderHelperUI.initial
     4,499      53,561     143,301       1,060         84  cwt_do.ClsDataOrderHelperUI.loadItems
     4,296       2,144     143,837           1      2,003  cwt_do.new_cwt_do.dataOrder.getHelper
     4,286      52,277     143,808       1,443         82  cwt_do.getDOHelper
     4,282      26,115     143,471         194        164  cwt_do.ClsDataOrderHelperUI.initGlobalVariables
     4,193      51,777     209,003       5,918         81  cwt_do.api.orderClassUI.save
     3,895         111      39,391           9     34,874  getSourceRelations/$g/1431399600
     3,643   3,643,588   3,643,588   3,643,588          1  dataorder.service.updateOrder
     3,643   3,643,563   3,643,563   3,643,563          1  cwt_do.api.updateOrderHandler
     3,580         537      33,936         415      6,661  cwtsr_Lib.selectAssociationEntity
     3,466   3,466,072   3,466,072   3,466,072          1  cwt_do.api.orderClassUI.updateOrder
